Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
0005625273834609,Raquel Diniz Oliveira,"Desenvolvimento de pesquisas relacionadas a Eficiência Energética de Edificações e Rotulagem de Edifícios, Membro do Grupo de Pesquisa de Conforto Ambiental da UFMG (CNPq), Desenvolvimento de pesquisas na área de Eficiência Energética de Edificações e Conforto térmico dos usuários, Membro do Grupo HVAC&R - Heating, Ventilation, Air Conditioning and Refrigeration (CNPq), Membro do Grupo Arquitetura Bioclimática e Construção Sustentável (CNPq), Líder do Grupo Eficiência Energética e Sustentabilidade no ambiente construído (CNPq), Desenvolvimento de pesquisas relacionadas a Modelagem da Informação da Construção (BIM), Sustentabilidade e simulação termoenergética (BEM), Membro do Grupo Materiais álcali-ativados (geopolímeros) como ligantes sustentáveis para a construção civil (CNPq), Research Fellow at LLILAS. Research subject: climatic suitability of houses based on prefabricated systems",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0025786098254998,Juliana Santiago Teixeira,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0051842357906949,Lucas Zangirolami Gomes,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0053523283713556,Emmanuel Ferreira de Sousa,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0060940396762422,Guilherme da Silva Veloso,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0066067112109904,Hellen Pinto Ferreira Deckers,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0071462798150509,Gisele Teixeira Dias Costa Pinto,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0091668862843924,Márcia Valéria Rodrigues Ferreira,"Interação Homem-Computador (IHC), Informática na Educação, Teste de Software, Levantamento, Análise e Especificação de Requisitos, Tecnologia Assistiva",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0092132457119200,Janine Resende Rocha,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0095259744100943,João Carlos de Oliveira,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0106002973122539,Ildefonso Binatti,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0108708304516432,Sergio Campos de Freitas,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0116602357674653,Claudio Antunes de Siqueira,"Desenvolvimento de Material Multimídia para Ensino de Física em Nível Superior, Desenvolvimento de um Amostrador de Grandes Volumes (HI-VOL) Para Controle de Poluição Ambiental por Material Particulado",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0119061678782077,Izabela Marques de Oliveira,"Análise, Métodos Matemáticos Aplicados",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0120781005490081,Marcus Caetano Domingos,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0127343657303312,Paulo Roberto de Almeida,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0129323556531304,Ana Paula Batista,"Sistemas de Controle em Rede (Networked Control Systems), Monitoramento de Usos Finais, Sistemas de Controle e Automação, Eficiência Energética, Sistemas Fotovoltaicos",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0134378707848529,Denilson de Cássio Silva,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0150562858207849,Jose Geraldo Ribeiro Junior,,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0153998481924100,Valmir Dias Luiz,Processos de Fabricação,0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0155470149319230,Ariany Carolina de Oliveira,Modelagem e Controle de Sistemas (Sistemas de Controle),0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
0156197892875545,Irlen Antônio Gonçalves,"Pedagogia: história da educação, formação de educadores e/ou novas tecnologias, Políticas de formação docente e de profissionalização, Ciência, tecnologia e trabalho: abordagens filosóficas, históricas e sociológicas",0,0,0,"Engenharia Térmica, Fenômenos de Transporte, , Fenômenos de Transporte"
